ngc,ra,dec
N0686,26.64958333,-24.04666667
N0687,26.90470833,36.12333333
N0688,26.953625,35.03705556
N0689,26.89125,-27.71388889
N0690,26.34808333,-16.97047222
N0691,26.98266667,21.51244444
N0692,26.67875,-48.89638889
N0693,26.974625,5.897555556
N0694,27.051625,21.75030556
N0695,27.11550833,22.33546667
N0696,26.82708333,-35.15327778
N0697=N0674,27.12958333,22.11086111
N0698,26.87958333,-35.07908333
N0699,27.06958333,-12.28305556
N0700,27.33579167,35.79016667
N0701,27.1475,-9.950277778
N0702e,27.19875,-4.302777778
N0702e+w,27.19808333,-4.301638889
N0702nw,27.19483333,-4.295805556
N0702w,27.19625,-4.300555556
N0703,27.43004167,35.92505556
N0704nw,27.422,35.88044444
N0704se,27.42291667,35.87822222
N0705,27.43845833,35.89761111
N0706,27.306,6.049416667
N0707,27.24216667,-8.753027778
N0707 se,27.24375,-8.753888889
N0708,27.45829167,35.90558333
N0709,27.47558333,35.97672222
N0710,27.48991667,35.80705556
N0711,27.43454583,17.26634444
N0712,27.54783333,36.57386111
N0713,28.22079167,-9.328305556
N0714,27.63770833,35.97525
N0715,27.69125,-13.11972222
N0716=I1743,27.57879167,12.462
N0717,27.74325,35.98369444
N0718,27.654625,3.949722222
N0719=I1744,27.724325,19.59463889
N0720,27.64333333,-13.98472222
N0721,27.941125,39.13794444
N0722,28.005375,20.45297222
N0723=N0724,27.85791667,-24.00305556
N0724=N0723,27.85791667,-24.00305556
N0725,27.54625,-16.76416667
N0726,28.26791667,-11.04472222
N0727=N0729,27.90970833,-36.10166667
N0728,28.10625,3.977222222
N0729=N0727,27.90970833,-36.10166667
N0730,28.17158333,5.391138889
N0731=N0757,28.11525,-9.256333333
N0732,28.37508333,36.55802778
N0733,28.41375,32.81133333
N0734,28.13875,-17.32488889
N0735,28.42708333,33.93266667
N0736,28.44341667,32.79994444
N0737,28.4425,32.80555556
N0738,28.4628,32.81471389
N0739,28.49954167,33.0229
N0740,28.5015,32.77152778
N0741=I1751,28.43408333,5.384583333
N0742,28.446625,5.382194444
N0743,28.77916667,59.90022222
N0744,28.8,55.21691667
N0745,28.09354167,-56.93894444
N0745 all,28.09583333,-56.93336111
N0745 e comp,28.10829167,-56.93058333
N0745 w comp,28.093125,-56.93280556
N0746,28.68804167,44.67461111
N0747,28.75895833,-9.706083333
N0748,28.46083333,-4.711666667
N0749,28.35770833,-30.16683333
N0750,28.65708333,32.96641667
N0750+N0751,28.65766667,32.96322222
N0751,28.65879167,32.95986111
N0752,28.675,37.53347222
N0753,28.68866667,35.67233333
N0754,28.14958333,-57.00666667
N0755=N0763,28.47520833,-9.306527778
N0756,28.02083333,-16.95313889
N0756 comp,28.02329167,-16.95405556
N0756 knot or *,28.02316667,-16.95172222
N0757=N0731,28.11525,-9.256333333
N0758,28.29237083,-3.311025
N0759,28.720125,36.09944444
N0760,28.71804167,33.11177778
N0761,28.72770833,33.13369444
N0762,28.61291667,-5.646388889
N0763=N0755,28.47520833,-9.306527778
N0764?,28.66208333,-16.30555556
N0765,28.996125,24.64925
N0766,29.01470833,8.104333333
