abell_num,ra,dec
651,125.575,16.1
652,126.425,56.03333333
653,125.45,1.216666667
654,126.05,38.91666667
655,126.325,47.11666667
656,126.375,48.26666667
657,125.825,15.95
658,125.95,15.66666667
659,126.025,19.4
660,126.325,36.83333333
661,126.825,53.13333333
662,126.2,8.483333333
663,126.625,34.81666667
664,126.2,4.433333333
665,127.7,65.88333333
666,126.8,38.31666667
667,127.025,44.71666667
668,126.925,34.76666667
669,127.55,56.31666667
670,128.15,66.88333333
671,127.125,30.41666667
672,127.225,32.48333333
673,127.075,15.16666667
674,127.55,18.43333333
675,127.9,38.41666667
676,127.9,37.16666667
677,128.075,35.78333333
678,128.575,50.71666667
679,128.525,35.96666667
680,128.825,36.86666667
681,129.05,43.85
682,129.5,51.83333333
683,129.15,31.23333333
684,130.85,72.8
685,129.4,44.23333333
686,131.975,77.71666667
687,129.75,42.13333333
688,129.375,15.85
689,129.375,14.98333333
690,129.8,28.83333333
691,130.275,42.03333333
692,130.225,26.73333333
693,129.925,1.066666667
694,130.3,32.05
695,130.35,32.28333333
696,130.4,16.16666667
697,130.725,36.33333333
698,130.85,41.53333333
699,131.15,27.78333333
700,131.5,36.95
701,131.9,38.13333333
702,131.75,24.98333333
703,131.525,5.133333333
704,134.8,79.3
705,131.9,30
706,132.075,28.73333333
707,135.225,79.88333333
708,132.25,37.53333333
709,132.55,12.75
710,133.05,36.56666667
711,132.6,0.316666667
712,133.025,25.63333333
713,133.15,18.21666667
714,133.7,41.91666667
715,133.675,35.4
716,134,48.45
717,138.125,82.86666667
718,136.7,79.21666667
719,136.425,78
720,133.775,15.63333333
721,134.875,61.28333333
722,134.325,30.75
723,137.95,81.46666667
724,134.575,38.56666667
725,135.3,62.6
726,134.575,31.11666667
727,134.775,39.41666667
728,134.4,9.966666667
729,135.275,58.25
730,135.1,51.33333333
731,134.35,-3.683333333
732,134.475,3.166666667
733,135.325,55.61666667
734,135.15,16.26666667
735,136.1,61.75
736,135.8,52.2
737,138.375,79.91666667
738,138.1,78.03333333
739,136.125,47.23333333
740,136.4,42.31666667
741,136.625,37.3
742,137.55,60.3
743,136.675,10.28333333
744,136.825,16.66666667
745,136.7,4.783333333
746,137.4,51.55
747,137.725,61.13333333
748,139.1,75.78333333
749,137.175,6.983333333
750,137.275,11.03333333
751,142.05,83.41666667
752,137.6,35.45
753,137.15,-6.883333333
754,137.2,-9.633333333
755,138.125,48.96666667
756,138.1,48.48333333
757,138.2,47.71666667
758,138.15,42.55
759,138.2,41.9
760,137.65,-5.466666667
761,137.675,-10.58333333
762,139.775,74.28333333
763,138.125,16
764,139.3,63.81666667
765,140.175,73.81666667
766,138.275,-4.716666667
767,142.55,82.41666667
768,141.45,79.38333333
769,138.575,3.316666667
770,139.525,60.41666667
771,139.65,61.16666667
772,139.125,36.61666667
773,139.5,51.7
774,138.9,5.516666667
775,139.075,5.866666667
776,139.075,-0.4
777,142.075,78.23333333
778,139.5,-8.316666667
779,139.95,33.76666667
780,139.625,-12.26666667
